text	label	edu1_idx	edu2_idx	file
spk3: thanks, guys [SEP] spk1: congrats	Comment	3	5	s2-league5-game3_22
spk1: i can give a wood for the wheat [SEP] spk3: ok I'll tak eit	Acknowledgement	6	7	s2-league5-game4_30
spk3: does anyone want to give me an ore? [SEP] spk2: I've had one the whole game	Question_answer_pair	0	2	s2-league5-game3_20
spk3: So ztime, you can't offer out trades? [SEP] spk2: just wondering if you had wood to offer..	Clarification_question	10	17	s2-league4-game1_1
spk1: rolled a 7 [SEP] spk2: Had too many cards when a 7 came up	Continuation	5	6	pilot01_9
spk2: where'd my sheep go? [SEP] spk1: not to me either	Question_answer_pair	7	9	pilot14_20
spk1: NEVER :) [SEP] spk2: fair enough	Acknowledgement	1	3	s2-league3-game4_10
spk2: nice country [SEP] spk4: not really :p	Correction	32	33	s1-league1-game3_8
spk1: although I have one by my knee [SEP] spk1: table service :)	Elaboration	20	22	s1-league1-game4_28
spk1: yeah [SEP] spk1: its not immediately obvious	Elaboration	29	30	s2-league5-game2_8
spk2: here we go [SEP] spk1: I get booted way too often	Comment	1	2	s2-league5-game5_10
spk3: hey [SEP] spk1: all 4, great!	Result	11	15	s2-league1-game1_20
spk1: oh william. this again. [SEP] spk1: you have no luck 7-ing your own pile	Explanation	0	1	s1-league1-game5_11
spk2: I did them [SEP] spk2: because a friend did	Explanation	15	16	s1-league1-game3_36
spk2: hey, anyone need sheep? [SEP] spk2: I could use some wood	Elaboration	25	26	s2-league5-game2_12
spk3: anyone have clay for sheep? [SEP] spk1: no	Question_answer_pair	0	1	s1-league1-game2_2
spk2: sorry have those [SEP] spk1: do not have any wheat	Contrast	8	10	s1-league1-game2_17
spk1: no wheat... [SEP] spk3: Hmmm, oh well.	Acknowledgement	1	3	s1-league2-game1_29
spk1: I'll give you a wood for 2 ore? [SEP] spk2: ok	Question_answer_pair	2	3	s2-practice2_21
spk2: nope [SEP] spk1: fair enough	Acknowledgement	8	10	pilot14_25
spk1: i think the offer goes to everyone [SEP] spk2: I think	Correction	40	45	pilot21_2
spk1: no [SEP] spk2: pleae	Contrast	1	2	pilot14_21
spk2: hey where is everyone from? [SEP] spk3: slovakia :)	Question_answer_pair	3	8	s1-league1-game3_38
spk1: anyone have  sheep? [SEP] spk1: i am looking for sheep or clay	Elaboration	1	4	s2-league5-game1_4
spk1: i hate 2:1 deals, seems grinchy [SEP] spk4: such a gentleman	Comment	21	22	s2-leagueM-game2_1
spk2: good game [SEP] spk3: gg	Acknowledgement	14	15	s1-league3-game1_17
spk3: i'd appreciate it [SEP] spk3: if you could all lose with less than 5VP,	Conditional	48	49	s2-leagueM-game5_18
spk2: What do you have? [SEP] spk4: wheat	Question_answer_pair	6	7	s2-league1-game1_29
