text	label	edu1_idx	edu2_idx	file
spk3: :D [SEP] spk2: Oh...	Comment	0	1	pilot01_1
spk2: well that's unkind [SEP] spk3: sorry	Comment	2	3	pilot01_1
spk2: It's okay, [SEP] spk2: name of the game and all that.	Elaboration	4	5	pilot01_1
spk3: sorry [SEP] spk2: It's okay,	Comment	3	4	pilot01_1
spk2: Do you get a random one of my resources then? [SEP] spk3: I did, yeah	Question_answer_pair	6	8	pilot01_1
spk3: anyone need wheat? [SEP] spk2: no thanks	Question_answer_pair	7	9	pilot01_1
spk3: anyone need wheat? [SEP] spk3: rennoc?	Q_Elab	7	10	pilot01_1
spk3: rennoc? [SEP] spk1: i'm ok for now	Question_answer_pair	10	11	pilot01_1
spk2: Oh... [SEP] spk2: well that's unkind	Explanation	1	2	pilot01_1
spk2: well that's unkind [SEP] spk2: Do you get a random one of my resources then?	Result	2	6	pilot01_1
spk3: :D [SEP] spk3: anyone need wheat?	Continuation	0	7	pilot01_1
spk3: :O [SEP] spk2: Wow, nice roll Rennoc :D	Continuation	0	1	pilot01_2
spk3: :O [SEP] spk3: ok, rennoc, listen to me	Result	0	2	pilot01_2
spk3: ok, rennoc, listen to me [SEP] spk3: don't give tomm wheat	Elaboration	2	3	pilot01_2
spk3: don't give tomm wheat [SEP] spk3: sorry tomm	Comment	3	4	pilot01_2
spk3: don't give tomm wheat [SEP] spk3: if he gets wheat	Explanation	3	6	pilot01_2
spk3: if he gets wheat [SEP] spk2: Aww. :(	Comment	6	7	pilot01_2
spk3: if he gets wheat [SEP] spk2: Sadly, the man does have a point.	Acknowledgement	6	9	pilot01_2
spk2: Aww. :( [SEP] spk2: Sadly, the man does have a point.	Elaboration	7	9	pilot01_2
spk3: don't give tomm wheat [SEP] spk1: can you give wheat to me, dave?	Result	3	8	pilot01_2
spk1: can you give wheat to me, dave? [SEP] spk1: for clay?	Q_Elab	8	11	pilot01_2
spk3: sorry tomm [SEP] spk3: if he gets wheat	Contrast	4	6	pilot01_2
spk1: can you give wheat to me, dave? [SEP] spk3: uh, I might get some on my turn, so maybe	Question_answer_pair	8	10	pilot01_2
spk1: for clay? [SEP] spk3: I'm good for clay, thanks	Question_answer_pair	11	12	pilot01_2
spk1: can you give wheat to me, dave? [SEP] spk1: any one have sheep?	Continuation	8	13	pilot01_2
spk3: but he can win the game [SEP] spk3: if he gets wheat	Conditional	5	6	pilot01_2
spk1: any one have sheep? [SEP] spk2: That's a fair point,	Comment	13	14	pilot01_2
spk2: That's a fair point, [SEP] spk2: I've not had sheep for ages.	Explanation	14	15	pilot01_2
spk1: any one have sheep? [SEP] spk2: I've not had sheep for ages.	Explanation	13	15	pilot01_2
spk1: ... [SEP] spk1: noooo	Comment	0	1	pilot01_3
spk1: noooo [SEP] spk1: I just bought the wrong resource	Explanation	1	2	pilot01_3
spk3: 10 10 10 [SEP] spk3: never a 10	Comment	0	1	pilot01_4
spk3: never a 10 [SEP] spk3: :9	Comment	1	2	pilot01_4
spk3: :9 [SEP] spk3: *:(	Correction	2	3	pilot01_4
spk3: never a 10 [SEP] spk2: Yeah.	Acknowledgement	1	4	pilot01_4
spk2: Also 8 should be as likely as a 6... [SEP] spk2: but looads of 6's no 8's :p	Contrast	5	6	pilot01_4
spk3: also 7's, [SEP] spk3: we've had about half the rolls as sevens	Elaboration	7	8	pilot01_4
spk3: we've had about half the rolls as sevens [SEP] spk2: 7 is the most likely to be fair	Comment	8	9	pilot01_4
spk2: 7 is the most likely to be fair [SEP] spk3: it is, yeah, even so	Acknowledgement	9	11	pilot01_4
spk1: so anyone have any ore? [SEP] spk1: I have sheep to spare	Elaboration	12	13	pilot01_4
spk1: so anyone have any ore? [SEP] spk3: I have wheat	Question_answer_pair	12	14	pilot01_4
spk1: so anyone have any ore? [SEP] spk2: fraid not	Question_answer_pair	12	15	pilot01_4
spk2: 7 is the most likely to be fair [SEP] spk2: from what I remember	Background	9	10	pilot01_4
spk2: but looads of 6's no 8's :p [SEP] spk3: also 7's,	Parallel	6	7	pilot01_4
spk3: 10 10 10 [SEP] spk1: so anyone have any ore?	Continuation	0	12	pilot01_4
spk2: Yeah. [SEP] spk2: Also 8 should be as likely as a 6...	Continuation	4	5	pilot01_4
spk2: Rennoc... I have sheep now? [SEP] spk2: Got any wheat? :P	Q_Elab	2	3	pilot01_5
spk2: Got any wheat? :P [SEP] spk1: nope sorry.	Question_answer_pair	3	8	pilot01_5
spk1: nope sorry. [SEP] spk1: I could spare some clay though	Contrast	8	9	pilot01_5
spk3: nooooooo [SEP] spk3: don't give him wheat,	Elaboration	4	5	pilot01_5
spk3: also, if you get the robber [SEP] spk3: put it on that wheat tile in the middle	Conditional	6	7	pilot01_5
spk1: I could spare some clay though [SEP] spk2: 1 clay for 1 sheep?	Q_Elab	9	10	pilot01_5
spk1: thanks [SEP] spk2: muhaha!	Comment	11	12	pilot01_5
spk3: 3 sheep [SEP] spk3: really	Comment	0	1	pilot01_5
spk2: Got any wheat? :P [SEP] spk3: nooooooo	Comment	3	4	pilot01_5
spk3: uh no [SEP] spk1: we're doomed	Elaboration	13	14	pilot01_5
spk3: uh no [SEP] spk3: that got you less points than I thought	Contrast	13	15	pilot01_5
spk1: thanks [SEP] spk3: uh no	Comment	11	13	pilot01_5
spk3: 3 sheep [SEP] spk2: Rennoc... I have sheep now?	Continuation	0	2	pilot01_5
spk2: 1 clay for 1 sheep? [SEP] spk1: thanks	Question_answer_pair	10	11	pilot01_5
spk3: don't give him wheat, [SEP] spk3: also, if you get the robber	Continuation	5	6	pilot01_5
spk3: anyone need ore? [SEP] spk1: yep	Question_answer_pair	0	1	pilot01_6
spk3: anyone need ore? [SEP] spk3: willing to trade for clay and sheep	Elaboration	0	2	pilot01_6
spk3: anyone need ore? [SEP] spk2: what for?	Q_Elab	0	3	pilot01_6
spk3: willing to trade for clay and sheep [SEP] spk1: got some clay.	Question_answer_pair	2	4	pilot01_6
spk1: got some clay. [SEP] spk3: 1 ore for 1 clay?	Elaboration	4	5	pilot01_6
spk3: 1 ore for 1 clay? [SEP] spk1: ok	Question_answer_pair	5	6	pilot01_6
spk3: anyone need wheat? [SEP] spk2: What for?	Q_Elab	0	1	pilot01_7
spk3: clay, I guess, or ore [SEP] spk3: or wood	Alternation	2	3	pilot01_7
spk1: you know if you have more than 4, [SEP] spk1: I think you can trade them into the bank,	Conditional	4	5	pilot01_7
spk3: anyone need wheat? [SEP] spk1: you know if you have more than 4,	Comment	0	4	pilot01_7
spk1: you know if you have more than 4, [SEP] spk3: yeah	Acknowledgement	4	6	pilot01_7
spk3: yeah [SEP] spk3: but it's not ideal	Contrast	6	7	pilot01_7
spk3: but it's not ideal [SEP] spk2: That's true...	Acknowledgement	7	8	pilot01_7
spk2: That's true... [SEP] spk2: 4 -> 1	Explanation	8	9	pilot01_7
spk2: Well, I might do, [SEP] spk2: but depends on my roll, I'm afraid	Contrast	10	11	pilot01_7
spk2: What for? [SEP] spk3: clay, I guess, or ore	Question_answer_pair	1	2	pilot01_7
spk3: anyone need wheat? [SEP] spk2: Well, I might do,	Question_answer_pair	0	10	pilot01_7
spk2: aww [SEP] spk1: well that was robbery	Comment	0	1	pilot01_8
spk2: after you put him  [SEP] spk2: and before he's moved	Continuation	3	4	pilot01_8
spk2: does the robber do anything [SEP] spk2: after you put him 	Background	2	3	pilot01_8
spk1: When he is in a hex [SEP] spk1: you can't get resources	Conditional	7	8	pilot01_8
spk2: ah [SEP] spk1: yeah,	Acknowledgement	9	10	pilot01_8
spk1: well that was robbery [SEP] spk2: does the robber do anything	Clarification_question	1	2	pilot01_8
